Generic Name,Brand Names,DrugBank Accession Number,Summary,Background,Weight,Chemical Formula
Ajmaline,,DB01426,Ajmalineis an antiarrhythmic used to manage a variety of forms of tachycardias.,"An alkaloid found in the root of Rauwolfia serpentina, among other plant sources. It is a class Ia antiarrhythmic agent that apparently acts by changing the shape and threshold of cardiac action potentials. Ajmaline produces potent sodium channel blocking effects and a very short half-life which makes it a very useful drug for acute intravenous treatments. The drug has been very popular in some countries for the treatment of atrial fibrillation in patients with the Wolff–Parkinson–White syndrome and in well tolerated monomorphic ventricular tachycardias. It has also been used for many years as a drug to challenge the conduction system of the heart in cases of bundle branch block and syncope. In these cases, abnormal prolongation of the HV interval has been taken as a proof for infrahisian conduction defects tributary for permanent pacemaker implantation.",Average: 326.4326Monoisotopic: 326.199428086,C20H26N2O2
Emtricitabine,"Atripla, Biktarvy, Complera, Descovy, Emtriva, Genvoya, Odefsey, Stribild,Truvada",DB00879,Emtricitabineis a nucleoside reverse transcriptase inhibitor used for the treatment and prophylaxis of HIV.,"Emtricitabine is a nucleoside reverse transcriptase inhibitor (NRTI) indicated for the treatment of HIV infection in adults6or combined withtenofovir alafenamidefor the prevention of HIV-1 infection in high risk adolescents and adults.5Emtricitabine is a cytidine analogue.6The drug works by inhibiting HIV reverse transcriptase, preventing transcription of HIV RNA to DNA.6Emtricitabine was granted FDA approval on 2 July 2003.6",Average: 247.247Monoisotopic: 247.042690096,C8H10FN3O3S
Enalapril,"Epaned, Vaseretic, Vasotec",DB00584,Enalaprilis a prodrug of an ACE inhibitor used to treat hypertension and congestive heart failure.,"Enalapril is a prodrug belonging to the angiotensin-converting enzyme (ACE) inhibitor drug class that works on the renin-angiotensin-aldosterone system, which is responsible for the regulation of blood pressure and fluid and electrolyte homeostasis. Enalapril is an orally-active and long-acting nonsulphydryl antihypertensive agent that suppresses the renin-angiotensin-aldosterone system to lower blood pressure. It was developed from a targeted research programmed using molecular modelling.2Being a prodrug, enalapril is rapidly biotransformed into its active metabolite,enalaprilat, which is responsible for the pharmacological actions of enalapril. The active metabolite of enalapril competitively inhibits the ACE to hinder the production of angiotensin II, a key component of the renin-angiotensin-aldosterone system that promotes vasoconstriction and renal reabsorption of sodium ions in the kidneys. Ultimately, enalaprilat works to reduce blood pressure and blood fluid volume.Commonly marketed under the trade name Vasotec, enalapril was first approved by the FDA in 1985 for the management of hypertension, heart failure, and asymptomatic left ventricular dysfunction. It is also found in a combination product containinghydrochlorothiazidethat is used for the management of hypertension. The active metabolite enalaprilat is also available in oral tablets and intravenous formulations for injection.",Average: 376.4467Monoisotopic: 376.199822016,C20H28N2O5
Enalaprilat,,DB09477,Enalaprilatis an antihypertensive agent used for the management of hypertension when oral therapy is not practical.,"Enalaprilat is the active metabolite of the orally available pro-drug,enalapril. Used in the treatment of hypertension, enalapril is an ACE inhibitor that prevents Angiotensin Converting Enzyme (ACE) from transforming angiotensin I into angiotensin II. As angiotensin II is responsible for vasoconstriction and sodium reabsorption in the proximal tubule of the kidney, down-regulation of this protein results in reduced blood pressure and blood fluid volume. Enalaprilat was originally created to overcome the limitations of the first ACE inhibitor, captopril, which had numerous side effects and left a metallic taste in the mouth. Removal of the problematic thiol group from captopril resulted in enalaprilat, which was then modified further with an ester to create the orally available pro-drug enalapril.Enalaprilat is poorly orally available and is therefore only available as an intravenous injection for the treatment of hypertension when oral therapy is not possible.",Average: 348.3936Monoisotopic: 348.168521888,C18H24N2O5
Enalaprilat,,DB09477,Enalaprilatis an antihypertensive agent used for the management of hypertension when oral therapy is not practical.,"Enalaprilat is the active metabolite of the orally available pro-drug,enalapril. Used in the treatment of hypertension, enalapril is an ACE inhibitor that prevents Angiotensin Converting Enzyme (ACE) from transforming angiotensin I into angiotensin II. As angiotensin II is responsible for vasoconstriction and sodium reabsorption in the proximal tubule of the kidney, down-regulation of this protein results in reduced blood pressure and blood fluid volume. Enalaprilat was originally created to overcome the limitations of the first ACE inhibitor, captopril, which had numerous side effects and left a metallic taste in the mouth. Removal of the problematic thiol group from captopril resulted in enalaprilat, which was then modified further with an ester to create the orally available pro-drug enalapril.Enalaprilat is poorly orally available and is therefore only available as an intravenous injection for the treatment of hypertension when oral therapy is not possible.",Average: 348.3936Monoisotopic: 348.168521888,C18H24N2O5
Encainide,,DB01228,"Encainideis a voltage-gated sodium channel blocker used for management of atrial or ventricular fibrillation, atrial flutter, and ventricular tachycardia, that is no longer used due to proarrhythmic adverse effects.","All drug products containing encainide hydrochloride. Encainide hydrochloride, formerly marketed as Enkaid capsules, was associated with increased death rates in patients who had asymptomatic heart rhythm abnormalities after a recent heart attack. The manufacturer of Enkaid capsules voluntarily withdrew the product from the US market on December 16, 1991.",Average: 352.4699Monoisotopic: 352.21507815,C22H28N2O2
Endralazine,,DB13435,,Not Available,Average: 269.308Monoisotopic: 269.127660123,C14H15N5O
Captopril,,DB01197,"Captoprilis an ACE inhibitor used for the management of essential or renovascular hypertension, congestive heart failure, left ventricular dysfunction following myocardial infarction, and nephropathy.","Captopril is a potent, competitive inhibitor of angiotensin-converting enzyme (ACE), the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Captopril may be used in the treatment of hypertension.",Average: 217.285Monoisotopic: 217.077264041,C9H15NO3S
Enfuvirtide,Fuzeon,DB00109,Enfuvirtideis an HIV-1 gp41 fusion inhibitor used in patients experiencing HIV-1 replication who are already being treated with other anti-retrovirals.,"Enfuvirtide is a 36 amino acid biomimetic peptide that is structurally similar to the HIV proteins that are responsible for the fusion of the virus to cell membranes and subsequent intracellular uptake. The first agent in the novel class of antiretroviral drugs called HIV fusion inhibitors, enfuvirtide works by inhibiting HIV-1 fusion with CD4 cells.",,
Enoxacin,,DB00467,,A broad-spectrum 6-fluoronaphthyridinone antibacterial agent (fluoroquinolones) structurally related to nalidixic acid.,Average: 320.3189Monoisotopic: 320.128468635,C15H17FN4O3
Entacapone,"Comtan, Comtess, Stalevo",DB00494,Entacaponeis a selective reversible catechol-O-methyltransferase inhibitor for the treatment of Parkinson's disease.,"Entacapone is a selective, reversible catechol-O-methyl transferase (COMT) inhibitor for the treatment of Parkinson's disease. It is a member of the class of nitrocatechols. When administered concomittantly with levodopa and a decarboxylase inhibitor (e.g., carbidopa), increased and more sustained plasma levodopa concentrations are reached as compared to the administration of levodopa and a decarboxylase inhibitor.",Average: 305.286Monoisotopic: 305.101170605,C14H15N3O5
